Basics,Basics,Basics,Basics,Basics,Basics,Discoverability,Discoverability
Department,Sub Agency,Sub Component,API Name,Documentation,Status,Developer Hub in Use?,Developer Hub 2
Department of Agriculture,Agricultural Marketing Service,---,Farmers Market Directory API,http://search.ams.usda.gov/farmersmarkets/v1/svcdesc.html,active,https://www.usda.gov/developer,
Department of Agriculture,Agricultural Marketing Service,---,Organic INTEGRITY Database API,https://organic.ams.usda.gov/integrity/Developer/APIHelp.aspx,active,,
Department of Agriculture,Agricultural Research Service,---,Nutrient Database,https://ndb.nal.usda.gov/ndb/doc/index,active,,
Department of Agriculture,Animal and Plant Health Inspection Service,---,Animal Identification Management System,https://nais.aphis.usda.gov/ainmngt/HelpGetAnonymous.do,active,https://www.usda.gov/developer,
Department of Agriculture,Economic Research Service,---,Content API,http://ers.usda.gov/developer/website-content-api.aspx,inactive,https://www.usda.gov/developer,
Department of Agriculture,Economic Research Service,---,Charts of Note API,http://www.ers.usda.gov/developer/data-apis.aspx#.U7Q-No1dVGU,inactive,,
Department of Agriculture,Economic Research Service,---,ARMS API,http://www.ers.usda.gov/developer/data-apis.aspx#.U7Q-No1dVGU,inactive,,
Department of Agriculture,Economic Research Service,---,Food Dollar API,http://www.ers.usda.gov/developer/data-apis.aspx#.U7Q-No1dVGU,inactive,,
Department of Agriculture,Economic Research Service,---,GeoSpatial APIs,https://www.ers.usda.gov/developer/geospatial-apis/,active,,https://www.ers.usda.gov/developer/
Department of Agriculture,Farm Service Agency,---,National Agriculture Imagery Program Status Web Service,http://www.fsa.usda.gov/Internet/FSA_File/usage_guide_naipstatus_final.pdf,active,https://www.usda.gov/developer,
Department of Agriculture,Forest Service,---,Recreation Information Database,https://ridb.recreation.gov/docs,active,https://www.usda.gov/developer,
Department of Agriculture,Food and Nutrition Service,---,Summer Meal Site Finder API,https://www.fns.usda.gov/sfsp/developer-tools,active,,
Department of Agriculture,National Agricultural Library,---,Data Catalog (DKAN) API,https://data.nal.usda.gov/node/5183/api,active,,
Department of Agriculture,National Agricultural Library,---,PubAg API,https://pubag.nal.usda.gov/apidocs/,active,,
